    {19, "新手"}
    {147, "找不到 '%s'"}
    {149, "'%s' 正在商城。"}
    {151, "'%s' 正在活动地图。"}
    {153, "组队不存在，或队伍中没有人上线。"}
    {154, "你尚未结婚，或配偶当前不在线。"}
    {155, "没有可以聊天的好友。"}
    {156, "你还没有加入家族，或家族成员都不在线。"}
    {157, "已成功阻止。"}
    {160, "命令输入错误，请重新确认。"}
    {162, "已成功从列表中移除该名字。"}
    {163, "输入的角色名无效。"}
    {164, "将自己从列表中移除失败。"}
    {165, "输入的 NPC 名称有误，或"}
    {166, "请求失败。"}
    {170, "找不到雇佣商人。"}
    {262, "背包已满。"}
    {263, "金币不足。"}
    {264, "现在无法执行。\r\n请稍后再试。"}
    {265, "当前位置无法使用世界地图。"}
    {266, "请输入喇叭的内容。"}
    {267, "禁止使用不文明用语。"}
    {268, "效果正在生效中。\r\n请稍后再试。"}
    {269, "在枫叶岛无法使用。"}
    {270, "当前地图无法使用。"}
    {271, "当前地图无法执行。"}
    {272, "无法移动到其他岛屿。"}
    {273, "过度好奇会影响升级效率。\r\n\r\n确定要召唤怪物吗？"}
    {274, "现在无法聊天。"}
    {275, "获得经验值 (+%d)"}
    {277, "人气上升 (+%d)"}
    {278, "人气下降 (%d)"}
    {279, "获得金币 (+%d)"}
    {280, "网吧金币奖励 (+%d)"}
    {281, "失去金币 (%d)"}
    {282, "获得道具 (%d %s)"}
    {283, "获得道具 (%s)"}
    {284, "失去道具 (%d %s)"}
    {285, "失去道具 (%s)"}
    {286, "无法再获得道具。"}
    {287, "[%s] 已过期，将从背包中移除。"}
    {288, "正在处理其他请求。\r\n请稍后再试。"}
    {289, "你提升了 '%s' 的人气。"}
    {290, "你降低了 '%s' 的人气。"}
    {291, "输入的角色名有误。"}
    {292, "15 级以下的角色无法使用人气功能。"}
    {293, "今天已无法再增减人气。"}
    {294, "本月已无法再对该角色增减人气。"}
    {295, "'%s' 提升了 '%s' 的人气。"}
    {296, "'%s' 降低了 '%s' 的人气。"}
    {297, "因未知错误，人气没有变化。"}
    {298, "请稍后再试。"}
    {299, "%s 正在拒绝所有组队邀请。"}
    {300, "%s 拒绝了组队请求。"}
    {301, "创建了新的组队。"}
    {302, "你已被移出组队。"}
    {303, "你已退出组队。"}
    {304, "'%s' 已被移出组队。"}
    {305, "'%s' 已退出组队。"}
    {306, "你作为队长已退出，组队已解散。"}
    {307, "队长退出后，你也退出了组队。"}
    {308, "你已加入组队。"}
    {309, "'%s' 加入了组队。"}
    {310, "你已经加入了组队。"}
    {311, "新手无法创建组队。"}
    {312, "你还没有加入组队。"}
    {313, "要加入的组队人数已满。"}
    {314, "10 级以下的新手不能担任队长。"}
    {315, "你不是该组队的队长。"}
    {316, "'%s' 不是你组队的成员。"}
    {317, "无法邀请该玩家加入组队。"}
    {318, "因未知错误，组队请求失败。"}
    {319, "在当前频道找不到该角色。"}
    {320, "组队成员："}
    {321, "你是该组队的队长。"}
    {322, "因超时，已向队长发送拒绝消息。"}
    {326, "创建了新的家族。"}
    {327, "你已被移出家族。"}
    {328, "你已退出家族。"}
    {329, "'%s' 已被移出家族。"}
    {330, "已删除的角色已被移出。"}
    {331, "'%s' 退出了家族。"}
    {332, "要把 '%s' 移出家族吗？"}
    {333, "要退出家族吗？"}
    {334, "'%s' 退出了家族。"}
    {335, "家族已解散。"}
    {336, "你已加入家族。"}
    {337, "'%s' 加入了家族。"}
    {338, "你已经加入了家族。"}
    {339, "由于等级不足，无法创建家族。"}
    {340, "你还没有加入家族。"}
    {341, "你是家族族长，无法退出。"}
    {342, "要加入的家族人数已满。"}
    {343, "新手不能担任族长。"}
    {344, "你不是该家族的族长。"}
    {345, "不能邀请自己加入家族。"}
    {346, "'%s' 不是该家族的成员。"}
    {347, "只有族长才能移出副族长。"}
    {348, "管理员无法创建家族。"}
    {349, "无法再邀请更多人加入家族。"}
    {350, "因未知原因，家族请求未被接受。"}
    {351, "在当前频道找不到该角色。"}
    {352, "家族成员："}
    {353, "你是该家族的族长。"}
    {354, "家族人数上限已提升至 %d 人。"}
    {355, "找不到该角色。"}
    {356, "该好友已经登记。"}
    {357, "不能把自己加为好友。"}
    {358, "该玩家尚未登记。"}
    {359, "你与对方没有好友申请。"}
    {360, "目前传送门已关闭。"}
    {361, "无法移动到其他岛屿。"}
    {362, "频道号错误。"}
    {363, "你在高级网吧中。\r\n登录期间可以享受各种高级服务。"}
    {364, "\r\nWindows 98 用户可能无法正常游戏。\r\n建议使用 Windows XP 或 2000。"}
    {365, "哦……你就是照顾我孩子的人啊！能听见我说话吗？我是位于世界树最深处、从中提取生命之水的魔法师，现在正用心念与你交谈。\r\n\r\n那个孩子……是我用自己制作的娃娃注入生命之水后诞生的魔法生物。很久以来我一直在研究生命本身，并学会了创造生命的法术。但这只有依靠生命之水才能实现……而生命之水产量极少，所以我能给那个孩子的生命也很有限……"}
    {366, "当时间流逝、注入的生命之水干涸后，它就会变回娃娃。是的，这很遗憾，但不必担心。只要再次注入生命之水，它就会重新活过来。\r\n\r\n为此，我每天在这地下深处收集生命之水。我已派弟子前往地面，等你需要生命之水时，请去找他。请记住，生命之水注入娃娃后只能维持一段时间……请好好照顾它……"}
    {367, "时间已到，无法移动。"}
    {368, "亲密度上升 (+%d)"}
    {369, "亲密度下降 (%d)"}
    {370, "宠物因饥饿回到了家中。"}
    {371, "宠物的魔法时间已到，变回了娃娃。"}
    {372, "卷轴亮起，神秘的力量注入了道具。"}
    {373, "卷轴亮起，但道具毫无变化。"}
    {374, "卷轴过于强大的力量将道具摧毁了。"}
    {375, "要在点唱机上播放 <%s> 吗？"}
    {376, "行程安排如下。"}
    {377, "起飞前 5 分钟开始登船。"}
    {378, "房间已经关闭。"}
    {379, "房间人数已满，无法进入。"}
    {380, "正在处理其他请求。"}
    {381, "死亡状态下无法执行。"}
    {382, "活动进行中无法执行。"}
    {383, "该角色无法执行。"}
    {384, "当前不允许与其他玩家交易道具。"}
    {385, "此处无法开设个人商店。"}
    {386, "只有两人在同一地图才能交易。"}
    {387, "'%s' 正在做其他事情。"}
    {388, "'%s' 拒绝了邀请。"}
    {389, "'%s' 目前不接受任何邀请。"}
    {390, "交易被对方取消。"}
    {391, "交易成功。\r\n请确认结果。"}
    {392, "交易成功。\r\n扣除手续费后收到 %d 金币。\r\n请确认结果。"}
    {393, "交易失败。"}
    {394, "由于存在无法叠加的道具，无法交易。"}
    {395, "由于对方在其他地图，无法交易。"}
    {396, "你要出多少金币？"}
    {397, "确定要交易吗？"}
    {398, "请输入商店名称。\r\n\r\n开店前若移动位置，\r\n商店可能无法开设。"}
    {401, "商店已关闭。"}
    {402, "商品已售完。"}
    {403, "数量必须以每组道具的数量为单位。"}
    {404, "合计 %d 金币。\r\n确定购买吗？"}
    {405, "已无法再卖出。"}
    {406, "按组出售。"}
    {407, "每组价格"}
    {408, "单价。"}
    {409, "出售数量。"}
    {410, "每组数量。"}
    {411, "该道具已经卖出。"}
    {412, "你无法进入该商店。"}
    {413, "要禁止 %s 进入吗？"}
    {414, "该玩家已被禁止。"}
    {415, "你因超时被禁止进入房间，之后无法再进入该商店。"}
    {416, "请输入要创建的游戏名称。"}
    {417, "金币不足，无法进入。"}
    {418, "此处无法开始游戏。"}
    {419, "个人商店只能在各大城镇的自由市场开设。"}
    {420, "仅可在自由市场入口 2 层以上的 7~22 号房间使用。"}
    {421, "[%s] 已进入。"}
    {422, "[%s] 已离开。"}
    {423, "[%s] 表示本局结束后离开。"}
    {424, "[%s] 取消了本局结束后离开的申请。"}
    {425, "[%s] 已被移出。"}
    {426, "你已被移出。"}
    {427, "[%s] 已弃权。"}
    {428, "[%s] 请求让子。"}
    {429, "你已离开房间。"}
    {430, "轮到 [%s]。"}
    {431, "[%s] 配对成功，请继续。"}
    {432, "[%s] 金币不足，无法开始游戏。"}
    {433, "游戏开始。"}
    {434, "游戏结束。\r\n房间将在 10 秒后自动关闭。"}
    {435, "剩余 10 秒。"}
    {436, "房间已关闭。"}
    {437, "你赢了。"}
    {438, "平局。"}
    {439, "你输了。"}
    {440, "确定要放弃吗？"}
    {441, "要把该玩家移出吗？"}
    {442, "对方请求平局。\r\n要接受吗？"}
    {443, "要请求平局吗？"}
    {444, "对方拒绝了你的平局请求。"}
    {445, "每局只能请求一次让子。"}
    {447, "要请求收回上一步吗？"}
    {448, "对方拒绝了你的请求。"}
    {449, "要申请本局结束后离开吗？"}
    {450, "要取消本局结束后离开的申请吗？"}
    {451, "剩余时间：%d 秒。"}
    {452, "轮到 [ %s ]。"}
    {453, "确定要离开吗？"}
    {454, "请输入密码。"}
    {455, "密码错误。"}
    {456, "要以非公开方式游戏吗？"}
    {457, "你无法进入锦标赛房间。"}
    {458, "你有两张 3。"}
    {459, "不能放在那里。"}
    {460, "无法在那里飞行。"}
    {461, "收件人角色名不正确。"}
    {462, "移动成功。请确认结果。"}
    {463, "我现在很忙。"}
    {464, "无法在同一账号内转移角色。"}
    {465, "该玩家正在登录中。"}
    {466, "该玩家背包空间不足。"}
    {467, "没有可转移的金币或道具。"}
    {468, "该角色尚未登记。"}
    {469, "因未知原因，请求被拒绝。"}
    {470, "删除该现金道具后，道具将消失，购买价格的 %d%%，即 %d，\r\n将累积为枫叶点数。\r\n累积的枫叶点数可用于购买其他现金道具。\r\n确定要删除该道具吗？\r\n"}
    {471, "所选道具将被删除，且不会累积枫叶点数。\r\n确定要删除该道具吗？\r\n"}
    {473, "扩充仓库栏位 (%d NX Cash)\r\n确定要扩充仓库栏位吗？"}
    {474, "无法添加所请求数量的栏位。"}
    {475, "无法扩充仓库栏位。"}
    {476, "由于职业限制，你无法使用该道具。\r\n确定要购买吗？"}
    {477, "由于等级限制，你无法使用该道具。\r\n确定要购买吗？"}
    {478, "由于人气限制，你无法使用该道具。\r\n确定要购买吗？"}
    {479, "部分道具存在你无法使用的限制。"}
    {480, "你已经拥有所选道具。\r\n确定要再次购买吗？"}
    {481, "你当前装备的武器无法使用该道具。\r\n要继续购买吗？"}
    {482, "只有鲁道夫宠物才能装备该道具。"}
    {483, "你当前饲养的宠物\r\n无法装备该道具。\r\n确定要购买吗？"}
    {484, "只有宠物才能装备该道具。\r\n确定要购买吗？"}
    {485, "没有宠物时无法使用该道具，\r\n且无法对已死亡的宠物使用。\r\n确定要购买吗？"}
    {486, "你当前饲养的宠物\r\n无法装备该道具。\r\n确定要购买吗？"}
    {487, "确定要购买该道具吗？"}
    {488, "合计 %d NX Cash。"}
    {489, "要购买吗？"}
    {490, "购买失败。"}
    {491, "你已购买以下道具。\r\n(部分道具未购买成功)"}
    {492, "请输入作为礼物收件人的角色名。\r\n仅同一世界内的角色可以接收礼物。"}
    {494, "请确认身份证号码后\r\n再试一次。"}
    {495, "请确认生日代码后\r\n再试一次。"}
    {496, "请确认护照号码后\r\n再试一次。"}
    {497, "无法使用该名称。\r\n请重新输入。"}
    {498, "该名称正在使用中。\r\n请换一个名称。"}
    {499, "该名称可以使用。\r\n若要使用该名称，\r\n请按确定。"}
    {500, "该名称与你当前的名称相同。\r\n请换一个名称。"}
    {501, "请按检测按钮\r\n确认该角色名\r\n是否可以使用。"}
    {502, "因已购买该道具，名称变更申请已提交。"}
    {503, "这属于请求限制。\r\n请确认最近 3 个月内\r\n是否被封禁。"}
    {504, "这属于请求限制。\r\n请确认一个月内\r\n是否申请过名称变更。"}
    {505, "取消该请求将不予退款。"}
    {506, "确定要取消\r\n名称变更申请吗？"}
    {507, "你的名称变更申请\r\n已成功提交。"}
    {508, "该道具已在愿望清单中。"}
    {509, "愿望清单已满。"}
    {510, "购买成功。"}
    {511, "你已向 '%s'\r\n赠送 %d 个 [ %s ]。"}
    {512, "已扩充道具栏位。"}
    {513, "现金道具已删除。"}
    {514, "请求超时。\r\n请再试一次。"}
    {515, "现金不足。"}
    {516, "未满 14 岁无法赠送现金道具。"}
    {517, "已超过礼物的金额上限。"}
    {518, "请确认是否已超过可持有的现金道具数量。"}
    {519, "请确认\r\n角色名是否有误，\r\n或该道具是否存在性别限制。"}
    {520, "由于性别限制，无法使用该优惠券。"}
    {521, "该优惠券已经使用过。"}
    {522, "该优惠券已过期。"}
    {523, "该优惠券只能在\r\nNexon 合作网吧使用。\r\n请前往 Nexon 合作网吧使用。"}
    {524, "该优惠券为 Nexon 合作网吧专用，\r\n且已经使用过。"}
    {525, "该优惠券为 Nexon 合作网吧专用，\r\n且已经过期。"}
    {526, "请确认\r\n优惠券号码是否正确。"}
    {527, "优惠券已过期。"}
    {528, "该优惠券已经使用过。"}
    {529, "该优惠券仅适用于普通道具，\r\n无法作为礼物赠送。"}
    {530, "该道具仅限高级网吧用户购买。"}
    {531, "收件人不符合条件。\r\n请确认角色名和性别。"}
    {532, "已超过 NX Cash 消费上限。"}
    {533, "测试期间无法使用商城。\r\n给你带来不便，敬请谅解。"}
    {534, "因未知错误，\r\n商城请求失败。"}
    {535, "用枫叶点数购买。"}
    {536, "作为礼物购买。"}
    {537, "只能删除没有使用期限的现金装备道具。"}
    {538, "该道具无法删除。"}
    {539, "现金道具已删除。\r\n(已累积 %d 枫叶点数)"}
    {540, "这是你的愿望清单。"}
    {541, "欢迎来到冒险岛商城！！！"}
    {542, "该道具正在准备中，给你带来不便敬请谅解。"}
    {543, " NX Cash"}
    {545, "该道具已加入愿望清单。"}
    {546, "[宠物]%s"}
    {547, "扩充仓库栏位"}
    {548, "为仓库扩充 %d 个栏位 (当前：%d 个)\r\n最多可扩充至 48 个栏位。%d Nexon Cash"}
    {549, "为仓库扩充 %d 个栏位 (当前：%d 个)\r\n最多可扩充至 48 个栏位。"}
    {550, "扩充 %s 栏位"}
    {551, "扩充 %d 个 %s 栏位。(当前：%d 个)\r\n最多可扩充至 %d 个栏位。%d Nexon Cash。"}
    {553, "请输入正确的 30 位优惠券号码。"}
    {554, "请确认收件人的名称。"}
    {555, "接收礼物的角色名。"}
    {556, "你收到了 "}
    {557, "以及 \r\n"}
    {559, "\r\n%d %s"}
    {562, "送给 %s"}
    {563, "\r\n使用优惠券。"}
    {564, "\r\n使用优惠券。"}
    {565, "你已赠送礼物给"}
    {567, "充值 NX Cash。"}
    {568, "该道具目前尚未开售。"}
    {569, " 单手剑"}
    {570, " 单手斧"}
    {571, " 单手钝器"}
    {572, " 短刀"}
    {573, " 短杖"}
    {574, " 长杖"}
    {575, " 双手剑"}
    {576, " 双手斧"}
    {577, " 双手钝器"}
    {578, " 枪"}
    {579, " 矛"}
    {581, " 弩"}
    {582, " 拳套"}
    {584, "脸饰"}
    {585, "眼饰"}
    {596, "套服"}
    {599, "回城卷轴"}
    {600, "武器/防具强化卷轴"}
    {601, "箭矢/飞镖"}
    {606, "能力强化剂与制作法"}
    {607, "游泳速度 : +%d"}
    {608, " 最快"}
    {609, " 较快"}
    {610, " 快"}
    {611, " 普通"}
    {612, " 慢"}
    {613, " 较慢"}
    {614, " 最慢"}
    {615, "这是来自 '%s' 的礼物"}
    {616, "可使用 %d 天。"}
    {617, "可使用 4 小时。"}
    {618, "可使用至 %d-%d-%04d %02d : %02d"}
    {619, "类别 :"}
    {620, "攻击速度 :"}
    {622, "物理攻击力 :"}
    {623, "魔法攻击力 :"}
    {624, "物理防御力 :"}
    {625, "魔法防御力 :"}
    {626, "命中率 :"}
    {627, "回避率 :"}
    {628, "手技 :"}
    {629, "移动速度 :"}
    {630, "跳跃力 :"}
    {631, "击退率 :"}
    {632, "可强化次数 :"}
    {633, "来自 '%s' 的礼物"}
    {634, "与 %s 的结婚戒指"}
    {635, "这是与 '%s' 的友情戒指。"}
    {636, "你已与 %s 订婚"}
    {637, "你已与 %s 结婚"}
    {638, "[当前等级 %d]"}
    {639, "[下一等级 %d]"}
    {640, "魔法剩余天数 : %d"}
    {641, "生命之水已经干涸。"}
    {642, "生命之水将于 %d-%d-%04d %02d : 00 干涸"}
    {652, "该玩家目前在别处。"}
    {653, "唯一道具"}
    {654, "任务道具"}
    {666, "请输入要添加为好友的角色名。"}
    {667, "请输入要邀请加入组队的角色名。"}
    {668, "确定要从列表中删除\r\n'%s' 吗？"}
    {670, "已登录。"}
    {671, "与你在同一频道。"}
    {672, "与 %s。"}
    {673, "商城"}
    {674, "因未知错误，请求被拒绝。"}
    {675, "你的好友列表已满。"}
    {676, "对方的好友列表已满"}
    {677, "该角色已经登记为你的好友。"}
    {678, "该角色尚未登记。"}
    {679, "不能将管理员加为好友。"}
    {680, "请输入要加入黑名单的角色名。"}
    {681, "不能把自己加入黑名单"}
    {682, "该角色名不存在\r\n请重新确认"}
    {683, "该名称已经登记\r\n请重新确认"}
    {684, "请输入要邀请的角色名。"}
    {685, "来自 '%s'"}
    {686, "邀请"}
    {687, "好友请求"}
    {688, "交易请求"}
    {689, "组队邀请"}
    {690, "家族邀请"}
    {691, "新任务！"}
    {692, "任务完成！"}
    {693, "Maple "}
    {695, "没有任务信息。"}
    {696, "管理员账号无法丢弃金币。"}
    {697, "要丢弃多少？"}
    {698, "- 已向 '%s' 发送邀请。"}
    {699, "- 找不到 '%s'。"}
    {700, "'%s' 目前不接受聊天。"}
    {701, "'%s' 拒绝了请求。"}
    {702, "- '%s' 邀请你加入聊天。"}
    {703, "'%s' 邀请你\r\n加入聊天室。\r\n要接受吗？"}
    {704, "请输入要发送悄悄话的对象。"}
    {705, "ID 错误。"}
    {706, "不能对自己发送悄悄话。"}
    {707, "对所有人"}
    {708, "对组队"}
    {709, "对好友"}
    {710, "对配偶"}
    {712, "对家族"}
    {713, "请输入附带的消息"}
    {714, "宠物已经有名字了。\r\n要修改吗？"}
    {715, "请给宠物起名。"}
    {716, "该名称无法使用。"}
    {717, "要把宠物命名为\r\n'%s' 吗？"}
    {718, "要使用福袋获得 %d 金币吗？"}
    {719, "你使用福袋获得了 %d 金币。"}
    {720, "福袋使用失败。"}
    {721, "[ 冒险岛信使帮助 ]"}
    {724, "- '%s' 已进入。"}
    {725, "- 你无法加入被邀请的聊天室。"}
    {726, "- '%s' 已离开房间。"}
    {727, "- 请输入玩家名称。"}
    {728, "- 角色名无效。"}
    {729, " 正在输入。"}
    {730, "角色名至少需要 %d 个字符。"}
    {731, "角色名不能超过 %d 个字符。"}
    {732, "角色名中不能包含空格。"}
    {733, "角色名中包含不能使用的字符。"}
    {734, "角色名中包含不能使用的词语。"}
    {735, "无法使用该名称。"}
    {736, "冒险岛文件夹"}
    {738, "只能输入数字。"}
    {739, "只能输入大于 %d 的数字。"}
    {740, "只能输入\r\n小于 %d 的数字"}
    {741, "请输入至少 %d 个字符。"}
    {742, "为保护隐私，请输入身份证号码。"}
    {743, "请输入家族名称。"}
    {744, "无法使用，请重新确认。"}
    {745, "该名称正在使用中，请换一个。"}
    {747, "个人信息。"}
    {748, "人气 +"}
    {749, "人气 -"}
    {751, "交易请求"}
    {752, "邀请加入组队"}
    {753, "保存名称"}
    {754, "因系统错误无法连接。"}
    {755, "该 ID 已被删除或限制使用。"}
    {756, "该 ID 尚未注册。"}
    {758, "该 ID 已在线，\r\n或服务器正在维护中。"}
    {759, "保存邮箱地址"}
    {760, "邮箱地址至少需要 %d 个字符。"}
    {761, "邮箱地址不能超过 %d 个字符。"}
    {762, "邮箱地址必须包含 @ 符号。\r\n(例) maple@wizet.com"}
    {763, "邮箱地址必须包含 . 符号。\r\n(例) maple@wizet.com"}
    {764, "密码至少需要 %d 个字符。"}
    {765, "密码不能超过 %d 个字符。"}
    {766, "需要年满 20 岁才能进入。"}
    {767, "你不在认证网吧中。"}
    {768, "该 IP 地址允许的用户数已超过上限。"}
    {769, "该 IP 已超出合约范围。"}
    {770, "当前不是可游戏的时间。"}
    {771, "确定要购买吗？"}
    {772, "要购买多少个？"}
    {773, "确定要出售吗？"}
    {774, "要出售多少个？"}
    {775, "库存不足。"}
    {776, "请确认背包是否已满。"}
    {777, "该道具无法携带多个。"}
    {778, "因发生错误，交易未能完成。"}
    {781, "确定要充值吗？"}
    {782, "确定要取出吗？"}
    {783, "存放需要 %d 金币。\r\n确定要存放吗？"}
    {784, "确定要从仓库取回道具吗？"}
    {785, "取回道具需要 %d 金币。\r\n确定要取回吗？"}
    {786, "确定要存放道具吗？"}
    {787, "存放需要 %d 金币。\r\n确定要存放吗？"}
    {788, "要存放多少个？"}
    {789, "要取出多少？"}
    {790, "要存入多少？"}
    {791, "仓库已满。"}
    {792, "你的属性不足，无法装备该道具。"}
    {793, "只能装备一枚结婚戒指。"}
    {794, "同时只能装备\r\n一枚友情戒指。"}
    {795, "你需要先装备道具\r\n才能使用。"}
    {796, "只有装备盾牌时\r\n才能使用。"}
    {797, "你当前使用的武器无法使用该道具。"}
    {798, "你当前装备的现金道具\r\n无法与该道具一起使用。\r\n请先卸下该道具后再试。"}
    {799, "你没有存活的宠物。"}
    {800, "宠物无法装备该装备。"}
    {801, "管理员无法丢弃道具。"}
    {802, "无法丢弃该道具。"}
    {803, "该道具丢弃后\r\n将无法找回，确定要丢弃吗？"}
    {805, "要丢弃多少个？"}
    {806, "该道具无法与他人交易。"}
    {807, "要交易多少个？"}
    {808, "[欢迎] 欢迎来到冒险岛！！"}
    {809, "[提示] "}
    {810, "[公告] "}
    {811, "重复发送相同内容\r\n可能会对其他用户造成困扰。"}
    {812, "聊天过多会影响\r\n其他玩家正常游戏。"}
    {813, "你目前已被禁止聊天。"}
    {828, "无法连接。"}
    {829, "剩余时间：%02d 分 %02d 秒 "}
    {830, "在活动地图中无法使用悄悄话。"}
    {831, "[答案： "}
    {832, "因人数不足，无法开始。"}
    {833, "奖品尚未设置。"}
    {834, "恭喜！你已进入第 %d 轮。"}
    {835, "恭喜！你已进入决赛。"}
    {836, "恭喜，你是冠军！！！"}
    {837, "奖品设置成功。"}
    {838, "奖品设置失败。\r\n请重新确认道具编号。"}
    {839, "--------奖品--------\r\n第1名 : %s\r\n\t第2名 : %s"}
    {840, "%s %02d:%02d %02d 秒"}
    {841, "因补丁程序发生错误，安装将立即停止。请下载最新版本的客户端。"}
    {842, "你在冒险岛玩得开心吗？\r\n\r\n如果画面变得全黑，\r\n或出现显示器频率超出范围等警告，\r\n\r\n请前往[开始->程序->MapleStory->Setup]调整刷新率。"}
    {843, "#e冒险岛基本设置#n\r\n\r\n#fUI/UIWindow.img/UtilDlgEx/notice#"}
    {844, "----------------- 帮助 -----------------"}
    {845, "/partyinfo : 显示当前组队信息。"}
    {846, "/makeparty : 创建新的组队"}
    {847, "/leaveparty : 如果你是组队成员，可以退出组队。"}
    {848, "/partyinvite 角色名 : 邀请加入我的组队（仅组长可用）"}
    {849, "/partyexpel 角色名 : 将某人移出组队（仅组长可用） "}
    {850, "/guildinfo : 显示家族信息"}
    {851, "/leaveguild : 退出家族"}
    {852, "/guildinvite : 邀请用户加入家族（仅族长可用）"}
    {853, "/guildexpel : 将用户移出家族（仅族长可用）"}
    {854, "/find 角色名 : 查询该角色是否在线等信息。"}
    {855, "/trade 角色名 : 请求交易。"}
    {856, "/buddy : 与好友交谈。"}
    {857, "/party : 与组队成员交谈。"}
    {858, "/guild : 与家族成员交谈。"}
    {859, "/whisper 角色名 : 设置为悄悄话对象"}
    {860, "/all : 普通聊天，而非悄悄话"}
    {861, "* 打开聊天窗口并按 Tab，或关闭聊天窗口后"}
    {862, "按 1、2、3 可以切换想要交谈的对象。"}
