ossyria0.s.2.1	getAboard
ossyria0.s.39.1	Ok! Antes, você precisa escolher o item que deseja trocar. Quanto melhor for o item, maior será a chance de receber um item melhor em troca.\r\n#b#L0# 100 #t4000073#s#l\r\n#L1# 100 #t4000059#s#l\r\n#L2# 100 #t4000076#s#l\r\n#L3# 100 #t4000058#s#l\r\n#L4# 100 #t4000078#s#l\r\n#L5# 100 #t4000060#s#l\r\n#L6# 100 #t4000062#s#l\r\n#L7# 100 #t4000048#s#l\r\n#L8# 100 #t4000081#s#l\r\n#L9# 100 #t4000061#s#l\r\n#L10# 100 #t4000070#s#l\r\n#L11# 100 #t4000071#s#l\r\n#L12# 100 #t4000072#s#l\r\n#L13# 100 #t4000051#s#l\r\n#L14# 100 #t4000055#s#l\r\n#L15# 100 #t4000069#s#l\r\n#L16# 100 #t4000052#s#l\r\n#L17# 100 #t4000050#s#l\r\n#L18# 100 #t4000057#s#l\r\n#L19# 100 #t4000049#s#l\r\n#L20# 100 #t4000056#s#l\r\n#L21# 100 #t4000079#s#l\r\n#L22# 100 #t4000053#s#l\r\n#L23# 100 #t4000054#s#l\r\n#L24# 100 #t4000080#s#l
ossyria0.s.5.1	Por favor, tenha certeza de para onde está indo e siga para a plataforma através de mim. A saída é programada, não vá perder!
ossyria0.s.6.1	west00
ossyria0.s.8.1	Por favor, tenha certeza de para onde está indo e siga para a plataforma através de mim. A saída é programada, não vá perder!
ossyria0.s.9.1	west00
ossyria0.s.11.1	Por favor, tenha certeza de para onde está indo e siga para a plataforma através de mim. A saída é programada, não vá perder!
ossyria0.s.12.1	west00
ossyria0.s.14.1	Por favor, tenha certeza de para onde quer ir e siga para a plataforma através de mim.
ossyria0.s.15.1	west00
ossyria0.s.17.1	Você… Fez mesmo o #b#t4031450##k. Ninguém garante mais qualidade do que Vogen. Certo, vou deixar você entrar no #m921100100#.\r\n#b#L0# Sim. Por favor, leve-me para #m921100100#.#l\r\n#L1# Eu gostaria de entrar no Monte El Nath.#l
ossyria0.s.18.1	S4congelar
ossyria0.s.20.1	Ei, parece que você quer ir muito mais longe daqui. Lá, no entanto, você vai se ver com monstros por todos os lados, agressivos, perigosos e, mesmo se achar que já está #Gpronto:pronta#, tenha cuidado. Há muito tempo, alguns homens corajosos da nossa cidade seguiram para eliminar quem ameaçasse a cidade, mas nunca voltaram...
ossyria0.s.21.1	Se estiver pensando em entrar, sugiro que mude de idéia. Mas se realmente quiser entrar… Só será permitido quem for forte o suficiente para continuar vivo lá dentro. Eu não quero ver mais ninguém morrer. Vamos ver... Humm...! Você parece bastante forte. Certo, deseja entrar?
ossyria0.s.23.1	under00
ossyria0.s.24.1	Se estiver pensando em entrar, sugiro que mude de idéia. Mas se realmente quiser entrar… Só será permitido quem for forte o suficiente para continuar vivo lá dentro. Eu não quero ver mais ninguém morrer. Vamos ver... Hmmm… você ainda não chegou ao nível 50. Não posso deixar você entrar, esqueça.
ossyria0.s.26.2	#s#k pelo que tenho, certo? Antes de trocar, tenha certeza de que possui um slot livre no seu inventário de uso ou etc. Então, deseja realmente trocar?
ossyria0.s.27.1	Hmmm… não vai ser nada mau para você. Se vier falar comigo na hora certa, posso arranjar ótimos itens. De qualquer maneira, quando quiser trocar, é só vir até mim.
ossyria0.s.29.2	#s#k? Se sim, verifique se seu inventário está cheio.
ossyria0.s.30.1	Para seu #b100 #t
ossyria0.s.32.3	#t
ossyria0.s.1.1	standard.s
ossyria0.s.4.1	Mesmo se pegar a passagem errada, você pode voltar aqui usando o portal. Deseja ir para a #bplataforma do navio que vai para Ellinia#k?
ossyria0.s.7.1	Mesmo se pegar a passagem errada, você pode voltar aqui usando o portal. Deseja ir para a #bplataforma do navio que vai para Ludibrium#k?
ossyria0.s.10.1	Mesmo se pegar a passagem errada, você pode voltar aqui usando o portal. .\r\nDeseja ir para a #bplataforma do navio que vai para Leafre#k?
ossyria0.s.13.1	Mesmo se pegar a passagem errada, você pode voltar aqui usando o portal. Deseja ir para a #bplataforma de Hak, que vai para Mu Lung#k?
